"MatchTime",FRA - France,Score,Lead,EGY - Egypt
39:16,,,,89SHEBIB MShot left 6m saved middle left
39:24,13KARABATIC NTechnical Fault (FB),,,
39:36,,,,91SANAD Mfor88HENDAWY K Empty goal
40:04,,17 - 17,0,31ELWAKIL OGoal left wing bottom left (39 ELDERAA Y)
40:04,,,,88HENDAWY Kfor80MESILHY A Goalkeeper back
40:50,10MEM DGoal centre 6m bottom right,18 - 17,+1,
41:09,,,,80MESILHY Afor88HENDAWY K Empty goal
41:25,,,,88HENDAWY Kfor66ELAHMAR A Goalkeeper back
41:25,28PORTE V7m caused,,,5OMAR Y7m received
41:31,16GENTY Yfor12GERARD V Goalkeeper Substitution,,,
"MatchTime",FRA - France,Score,Lead,EGY - Egypt
41:31,,18 - 18,0,5OMAR YGoal Penalty shot bottom centre
41:47,12GERARD Vfor16GENTY Y Goalkeeper Substitution,,,
42:00,10MEM DGoal right 6m bottom right,19 - 18,+1,
42:21,,,,80MESILHY Afor88HENDAWY K Empty goal
42:41,,,,88HENDAWY Kfor91SANAD M Goalkeeper back
42:56,,,,39ELDERAA YShot centre 9m post
43:31,13KARABATIC NGoal centre 6m middle right,20 - 18,+2,
43:38,,,,96ELTAYAR Mfor88HENDAWY K Goalkeeper Substitution
44:12,11TOURNAT N2-minutes suspension,,,
44:28,,,,39ELDERAA YTurnover
44:44,5REMILI Nfor12GERARD V Empty goal,,,
45:09,5REMILI NGoal centre 9m top left,21 - 18,+3,
45:09,12GERARD Vfor25DESCAT H Goalkeeper back,,,
45:42,,,,91SANAD MShot right wing saved top left
45:57,25DESCAT Hfor12GERARD V Empty goal,,,
46:15,12GERARD Vfor11TOURNAT N Goalkeeper back,,,
46:41,5REMILI NShot centre 9m blocked,,,90MOHAMED ABlock
46:55,,21 - 19,+2,90MOHAMED AGoal centre 6m bottom right
47:47,11TOURNAT NShot centre 6m saved top left,,,
48:47,,,,15MOHAMED ATurnover
49:16,7LAGARDE RTurnover,,,
50:05,,,,90MOHAMED AShot centre 6m saved middle left
50:15,5REMILI NGoal fast break bottom right (28 PORTE V),22 - 19,+3,
50:51,23FABREGAS L2-minutes suspension,,,
50:51,AGILLE G Warning (yellow card) bench punishment,,,
51:05,,,,15MOHAMED AShot right 6m saved top left
51:33,,,,Team timeout
51:42,,22 - 20,+2,5OMAR YGoal right 6m bottom left (39 ELDERAA Y)
51:54,25DESCAT Hfor12GERARD V Empty goal,,,
52:25,12GERARD Vfor25DESCAT H Goalkeeper back,,,
52:27,10MEM DGoal centre 9m bottom right,23 - 20,+3,
52:47,,23 - 21,+2,39ELDERAA YGoal centre 6m middle left
53:41,13KARABATIC NShot right 6m saved bottom centre,,,
53:58,,,,80MESILHY Afor96ELTAYAR M Empty goal
54:25,,,,96ELTAYAR Mfor91SANAD M Goalkeeper back
54:33,22KARABATIC LSteal,,,90MOHAMED ATurnover
54:38,28PORTE VGoal fast break bottom right,24 - 21,+3,
54:49,,,,5OMAR YShot centre 6m saved middle left
54:59,Team timeout,,,
55:30,10MEM DShot centre 9m saved middle right,,,
55:51,23FABREGAS LGoal left 6m top left (5 REMILI N),25 - 21,+4,
56:00,,25 - 22,+3,90MOHAMED AGoal centre 6m middle right
56:40,10MEM DTurnover,,,
56:54,,,,66ELAHMAR Afor96ELTAYAR M Empty goal
57:09,,,,5OMAR YTechnical Fault
57:12,,,,96ELTAYAR Mfor91SANAD M Goalkeeper back
57:47,13KARABATIC NGoal centre 6m bottom left,26 - 22,+4,
58:13,,,,80MESILHY Afor96ELTAYAR M Empty goal
58:22,,,,96ELTAYAR Mfor91SANAD M Goalkeeper back
58:42,,,,89SHEBIB MShot centre 6m missed
59:03,23FABREGAS LGoal left 6m bottom right (5 REMILI N),27 - 22,+5,
59:41,,27 - 23,+4,66ELAHMAR AGoal centre 6m top right
